btc_close,btc_return_1d,btc_volatility_7d,date,tx_count,volume,wai,wai_v1
95099.53,-0.0044,0.0253,2026-01-18,0,0.0,50,3
95516.08,-0.0007,0.0295,2026-01-17,14,17400.76,66,47
95584.83,-0.0147,0.0307,2026-01-16,20,12474.4,72,55
97007.78,0.0183,0.029,2026-01-15,38,45848.18,76,96
95260.44,0.0453,0.0185,2026-01-14,21,11649.02,68,59
91134.97,0.0035,0.0121,2026-01-13,27,31247.56,68,92
90819.37,0.0042,0.0162,2026-01-12,20,8082.66,58,60
90442.02,-0.0007,0.0158,2026-01-11,11,5210.76,54,25
90504.9,-0.0053,0.0156,2026-01-10,15,8853.92,62,39
90983.52,-0.003,0.0167,2026-01-09,18,23594.01,70,68
91257.16,-0.0257,0.0207,2026-01-08,21,9983.22,69,52
93666.86,-0.0028,0.0263,2026-01-07,18,42429.8,69,90
93926.8,0.0279,0.0239,2026-01-06,15,7058.65,58,42
91373.22,0.0086,0.0177,2026-01-05,16,20122.02,60,61
90593.85,0.0074,0.0143,2026-01-04,6,21539.65,52,53
89926.28,0.0135,0.0105,2026-01-03,8,4614.88,56,31
88727.67,0.0138,0.0065,2026-01-02,21,76617.11,65,100
87520.18,-0.0101,0.0051,2026-01-01,9,24254.13,62,64
88414.63,0.0144,0.005,2025-12-31,23,17846.82,66,92
87156.56,-0.0076,0.0031,2025-12-30,10,4923.95,57,42
87822.91,0.0002,0.0049,2025-12-29,27,31134.46,59,100
87807.0,0.0057,0.0063,2025-12-28,4,2416.47,45,30
87305.96,0.0009,0.0067,2025-12-27,5,2632.09,51,22
87229.78,-0.0047,0.0062,2025-12-26,11,4972.75,60,25
87642.61,0.0027,0.0124,2025-12-25,2,683.76,67,14
87406.44,-0.0123,0.0144,2025-12-24,26,29195.68,85,83
88491.12,-0.001,0.0144,2025-12-23,22,37467.36,80,100
88577.42,0.0026,0.0143,2025-12-22,20,7263.45,80,25
88347.94,0.0028,0.0137,2025-12-21,25,26710.84,91,100
88103.86,0.0311,0.0187,2025-12-20,4,21100.82,88,50
85450.33,-0.0071,0.0223,2025-12-19,23,10546.14,100,100
